,name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
977,HOFFMAN Sylvia,HOFFMAN S,Female,1989-06-29,"PHILADELPHIA, PA",United States of America,United States of America,USA,Bobsleigh,BOB,"COLORADO SPRINGS, CO",United States of America,,../../../en/results/bobsleigh/athlete-profile-n1041492-sylvia-hoffman.htm
978,HOFFMANN Anna,HOFFMANN A,Female,2000-03-28,,,United States of America,USA,Ski Jumping,SJP,,,,../../../en/results/ski-jumping/athlete-profile-n1041420-anna-hoffmann.htm
979,HOFFOS Courtney,HOFFOS C,Female,1997-08-30,"INVERMERE, BC",Canada,Canada,CAN,Freestyle Skiing,FRS,"CALGARY, AB",Canada,,../../../en/results/freestyle-skiing/athlete-profile-n1036218-courtney-hoffos.htm
980,HOFMANN Gregory,HOFMANN G,Male,1992-11-13,BIEL,Switzerland,Switzerland,SUI,Ice Hockey,IHO,"COLUMBUS, OH",United States of America,1.82/5'11'',../../../en/results/ice-hockey/athlete-profile-n1048551-gregory-hofmann.htm
981,HOFMEISTER Ramona Theresia,HOFMEISTER RT,Female,1996-03-28,BISCHOFSWIESEN,Germany,Germany,GER,Snowboard,SBD,BAD REICHENHALL,Germany,,../../../en/results/snowboard/athlete-profile-n1001659-ramona-theresia-hofmeister.htm
982,HOGAS Mihaela,HOGAS M,Female,1998-09-15,BRASOV,Romania,Romania,ROU,Speed Skating,SSK,BRASOV,Romania,1.67/5'5'',../../../en/results/speed-skating/athlete-profile-n1009835-mihaela-hogas.htm
983,HOJNISZ-STAREGA Monika,HOJNISZ-STAREGA M,Female,1991-08-27,CHORZOW,Poland,Poland,POL,Biathlon,BTH,CHORZOW,Poland,,../../../en/results/biathlon/athlete-profile-n1035086-monika-hojnisz-starega.htm
984,HOLDENER Wendy,HOLDENER W,Female,1993-05-12,EINSIEDELN,Switzerland,Switzerland,SUI,Alpine Skiing,ALP,UNTERIBERG,Switzerland,,../../../en/results/alpine-skiing/athlete-profile-n1048557-wendy-holdener.htm
985,HOLESINSKY Adrian,HOLESINSKY A,Male,1996-02-11,CADCA,Slovakia,Slovakia,SVK,Ice Hockey,IHO,NITRA,Slovakia,1.82/5'11'',../../../en/results/ice-hockey/athlete-profile-n1044261-adrian-holesinsky.htm
986,HOLICHENKO Sofiia,HOLICHENKO S,Female,2004-11-23,KIEV,Ukraine,Ukraine,UKR,Figure Skating,FSK,KIEV,Ukraine,,../../../en/results/figure-skating/athlete-profile-n1045143-sofiia-holichenko.htm
