,name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
0,AALTO Antti,AALTO A,Male,1995-04-02,KITEE,Finland,Finland,FIN,Ski Jumping,SJP,KUOPIO,Finland,,../../../en/results/ski-jumping/athlete-profile-n1005520-antti-aalto.htm
1,AALTONEN Miro,AALTONEN M,Male,1993-06-07,JOENSUU,Finland,Finland,FIN,Ice Hockey,IHO,PODOLSK,Russian Federation,1.80/5'10'',../../../en/results/ice-hockey/athlete-profile-n1025177-miro-aaltonen.htm
2,ABDELKADER Justin,ABDELKADER J,Male,1987-02-25,,,United States of America,USA,Ice Hockey,IHO,,,1.87/6'1'',../../../en/results/ice-hockey/athlete-profile-n1192599-justin-abdelkader.htm
3,ABDI Fayik,ABDI F,Male,1997-10-07,"SAN DIEGO, CA",United States of America,Saudi Arabia,KSA,Alpine Skiing,ALP,DHAHRAN,Saudi Arabia,,../../../en/results/alpine-skiing/athlete-profile-n1051423-fayik-abdi.htm
4,ABDUL-SABOOR Hakeem,ABDUL-SABOOR H,Male,1987-11-07,"EAST ORANGE, NJ",United States of America,United States of America,USA,Bobsleigh,BOB,"POWHATAN, VA",United States of America,,../../../en/results/bobsleigh/athlete-profile-n1041502-hakeem-abdul-saboor.htm
5,ABEDA Shannon,ABEDA S,Male,1996-05-15,"FORT MCMURRAY, AB",Canada,Eritrea,ERI,Alpine Skiing,ALP,"LETHBRIDGE, AB",Canada,,../../../en/results/alpine-skiing/athlete-profile-n1052177-shannon-abeda.htm
6,ABELTSHAUSER Konrad,ABELTSHAUSER K,Male,1992-09-02,BAD TOLZ,Germany,Germany,GER,Ice Hockey,IHO,MUNICH,Germany,1.95/6'4'',../../../en/results/ice-hockey/athlete-profile-n1095706-konrad-abeltshauser.htm
7,ABOLS Rodrigo,ABOLS R,Male,1996-01-05,RIGA,Latvia,Latvia,LAT,Ice Hockey,IHO,OREBRO,Sweden,1.93/6'3'',../../../en/results/ice-hockey/athlete-profile-n1037253-rodrigo-abols.htm
8,ABRAMENKO Oleksandr,ABRAMENKO O,Male,1988-05-04,PERVOMAISKY,Ukraine,Ukraine,UKR,Freestyle Skiing,FRS,KIEV,Ukraine,,../../../en/results/freestyle-skiing/athlete-profile-n1042098-oleksandr-abramenko.htm
9,ABRUZZESE Nick,ABRUZZESE N,Male,1999-06-04,"SLATE HILL, NY",United States of America,United States of America,USA,Ice Hockey,IHO,,,1.78/5'10'',../../../en/results/ice-hockey/athlete-profile-n1182014-nick-abruzzese.htm
10,ACHTEREEKTE Carlijn,ACHTEREEKTE C,Female,1990-01-29,LETTELE,Netherlands,Netherlands,NED,Speed Skating,SSK,HEERENVEEN,Netherlands,1.74/5'8'',../../../en/results/speed-skating/athlete-profile-n1055931-carlijn-achtereekte.htm
11,ADAKE Ahenaer,ADAKE A,Female,1999-06-01,XINJIANG,People's Republic of China,People's Republic of China,CHN,Speed Skating,SSK,,People's Republic of China,1.65/5'4'',../../../en/results/speed-skating/athlete-profile-n1058380-ahenaer-adake.htm
12,ADELISSE Antoine,ADELISSE A,Male,1996-06-10,NANTES,France,France,FRA,Freestyle Skiing,FRS,AIME-LA-PLAGNE,France,,../../../en/results/freestyle-skiing/athlete-profile-n1035826-antoine-adelisse.htm
13,ADOLFSSON Jessica,ADOLFSSON J,Female,1998-07-15,LINKOEPING,Sweden,Sweden,SWE,Ice Hockey,IHO,LINKOEPING,Sweden,1.76/5'9'',../../../en/results/ice-hockey/athlete-profile-n1041974-jessica-adolfsson.htm
14,AERNI Luca,AERNI L,Male,1993-03-27,CHATEL SAINT DENIS,Switzerland,Switzerland,SUI,Alpine Skiing,ALP,MOLLENS,Switzerland,,../../../en/results/alpine-skiing/athlete-profile-n1048257-luca-aerni.htm
15,AERTS Sara,AERTS S,Female,1984-01-25,TURNHOUT,Belgium,Belgium,BEL,Bobsleigh,BOB,ANTWERP,Belgium,,../../../en/results/bobsleigh/athlete-profile-n1045273-sara-aerts.htm
16,AESCHLIMANN Sandro,AESCHLIMANN S,Male,1994-12-26,ZAZIWIL,Switzerland,Switzerland,SUI,Ice Hockey,IHO,DAVOS,Switzerland,1.84/6'0'',../../../en/results/ice-hockey/athlete-profile-n1166960-sandro-aeschlimann.htm
17,AGOSTINO Kenny,AGOSTINO K,Male,1992-04-30,"MORRISTOWN, NJ",United States of America,United States of America,USA,Ice Hockey,IHO,,,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1182000-kenny-agostino.htm
18,AHMADI Atefeh,AHMADI A,Female,2000-12-23,,,Islamic Republic of Iran,IRI,Alpine Skiing,ALP,,,,../../../en/results/alpine-skiing/athlete-profile-n1001848-atefeh-ahmadi.htm
19,AICHER Emma,AICHER E,Female,2003-11-13,SUNDSVALL,Sweden,Germany,GER,Alpine Skiing,ALP,BERCHTESGADEN,Germany,,../../../en/results/alpine-skiing/athlete-profile-n1012881-emma-aicher.htm
20,AIDOVA Yekaterina,AIDOVA Y,Female,1991-07-30,KARAGANDY,Kazakhstan,Kazakhstan,KAZ,Speed Skating,SSK,KARAGANDY,Kazakhstan,1.70/5'6'',../../../en/results/speed-skating/athlete-profile-n1048162-yekaterina-aidova.htm
21,AIGRO Artti,AIGRO A,Male,1999-08-29,OTEPAEAE,Estonia,Estonia,EST,Ski Jumping,SJP,OTEPAEAE,Estonia,,../../../en/results/ski-jumping/athlete-profile-n1034310-artti-aigro.htm
22,AIRAPETIAN Denis,AIRAPETIAN D,Male,1997-01-17,PENZA,Russian Federation,ROC,ROC,Short Track Speed Skating,STK,MOSCOW,Russian Federation,,../../../en/results/short-track-speed-skating/athlete-profile-n1037936-denis-airapetian.htm
23,AKAR Furkan,AKAR F,Male,2002-03-06,ERZURUM,Turkey,Turkey,TUR,Short Track Speed Skating,STK,ERZURUM,Turkey,,../../../en/results/short-track-speed-skating/athlete-profile-n1000798-furkan-akar.htm
24,AKER Agnes,AKER A,Female,1997-07-22,SODERHAMN,Sweden,Sweden,SWE,Ice Hockey,IHO,,,1.70/5'6'',../../../en/results/ice-hockey/athlete-profile-n1042036-agnes-aker.htm
25,ALATALO Santeri,ALATALO S,Male,1990-05-09,TAMPERE,Finland,Switzerland,SUI,Ice Hockey,IHO,LUGANO,Switzerland,1.79/5'10'',../../../en/results/ice-hockey/athlete-profile-n1048258-santeri-alatalo.htm
26,ALDABERGENOVA Zhanbota,ALDABERGENOVA Z,Female,1995-09-23,SHYMKENT CITY,Kazakhstan,Kazakhstan,KAZ,Freestyle Skiing,FRS,ARE,Kazakhstan,,../../../en/results/freestyle-skiing/athlete-profile-n1048113-zhanbota-aldabergenova.htm
27,ALDOSHKIN Daniil,ALDOSHKIN D,Male,2001-06-19,KOLOMNA,Russian Federation,ROC,ROC,Speed Skating,SSK,KOLOMNA,Russian Federation,1.88/6'2'',../../../en/results/speed-skating/athlete-profile-n1037986-daniil-aldoshkin.htm
28,ALESSANDRIA Arnaud,ALESSANDRIA A,Male,1993-07-15,MONTE CARLO,Monaco,Monaco,MON,Alpine Skiing,ALP,SAINT-BON-TARENTAISE,France,,../../../en/results/alpine-skiing/athlete-profile-n1005712-arnaud-alessandria.htm
29,ALEV Alvar Johannes,ALEV AJ,Male,1993-09-29,JOESUU,Estonia,Estonia,EST,Cross-Country Skiing,CCS,OSLO,Norway,,../../../en/results/cross-country-skiing/athlete-profile-n1035407-alvar-johannes-alev.htm
30,ALEXANDER Benjamin,ALEXANDER B,Male,1983-05-08,LONDON,Great Britain,Jamaica,JAM,Alpine Skiing,ALP,"JACKSON, WY",United States of America,,../../../en/results/alpine-skiing/athlete-profile-n1064521-benjamin-alexander.htm
31,ALIC Esma,ALIC E,Female,2002-10-08,SARAJEVO,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Alpine Skiing,ALP,SARAJEVO,Bosnia and Herzegovina,,../../../en/results/alpine-skiing/athlete-profile-n1037238-esma-alic.htm
32,ALIMBEKAVA Dzinara,ALIMBEKAVA D,Female,1996-01-05,ABAI,Kazakhstan,Belarus,BLR,Biathlon,BTH,CHAUSY,Belarus,,../../../en/results/biathlon/athlete-profile-n1000188-dzinara-alimbekava.htm
33,ALLEGRE Nils,ALLEGRE N,Male,1994-01-02,BRIANCON,France,France,FRA,Alpine Skiing,ALP,SAINT-CHAFFREY,France,,../../../en/results/alpine-skiing/athlete-profile-n1035753-nils-allegre.htm
34,ALTHAUS Katharina,ALTHAUS K,Female,1996-05-23,OBERSTDORF,Germany,Germany,GER,Ski Jumping,SJP,OBERSTDORF,Germany,,../../../en/results/ski-jumping/athlete-profile-n1012745-katharina-althaus.htm
35,AMBROSE Erin,AMBROSE E,Female,1994-04-30,"NEWMARKET, ON",Canada,Canada,CAN,Ice Hockey,IHO,"KESWICK, ON",Canada,1.65/5'4'',../../../en/results/ice-hockey/athlete-profile-n1036290-erin-ambrose.htm
36,AMBROSINI Filippo,AMBROSINI F,Male,1993-04-26,ASAGIO,Italy,Italy,ITA,Figure Skating,FSK,ASAGIO,Italy,,../../../en/results/figure-skating/athlete-profile-n1035043-filippo-ambrosini.htm
37,AMBUHL Andres,AMBUHL A,Male,1983-09-14,DAVOS,Switzerland,Switzerland,SUI,Ice Hockey,IHO,DAVOS,Switzerland,1.76/5'9'',../../../en/results/ice-hockey/athlete-profile-n1048261-andres-ambuhl.htm
38,AMMANN Simon,AMMANN S,Male,1981-06-25,GRABS,Switzerland,Switzerland,SUI,Ski Jumping,SJP,SCHINDELLEGI,Switzerland,,../../../en/results/ski-jumping/athlete-profile-n1048262-simon-ammann.htm
39,AMRENOVA Ayaulym,AMRENOVA A,Female,2001-11-30,,Kazakhstan,Kazakhstan,KAZ,Freestyle Skiing,FRS,,Kazakhstan,,../../../en/results/freestyle-skiing/athlete-profile-n1057532-ayaulym-amrenova.htm
40,ANDERSEN Amalie,ANDERSEN A,Female,1999-10-06,HERNING,Denmark,Denmark,DEN,Ice Hockey,IHO,HERNING,Denmark,1.73/5'8'',../../../en/results/ice-hockey/athlete-profile-n1031840-amalie-andersen.htm
41,ANDERSEN Espen,ANDERSEN E,Male,1993-10-28,BAERUMS,Norway,Norway,NOR,Nordic Combined,NCB,LILLEHAMMER,Norway,,../../../en/results/nordic-combined/athlete-profile-n1013778-espen-andersen.htm
42,ANDERSEN Filip Fjeld,ANDERSEN FF,Male,1999-07-04,NESODDEN,Norway,Norway,NOR,Biathlon,BTH,GEILO,Norway,,../../../en/results/biathlon/athlete-profile-n1031967-filip-fjeld-andersen.htm
43,ANDERSON Jamie,ANDERSON J,Female,1990-09-13,"SOUTH LAKE TAHOE, CA",United States of America,United States of America,USA,Snowboard,SBD,,United States of America,,../../../en/results/snowboard/athlete-profile-n1044725-jamie-anderson.htm
44,ANDERSSON Ebba,ANDERSSON E,Female,1997-07-10,DELSBO,Sweden,Sweden,SWE,Cross-Country Skiing,CCS,OSTERSUND,Sweden,,../../../en/results/cross-country-skiing/athlete-profile-n1044312-ebba-andersson.htm
45,ANDERSSON Linnea,ANDERSSON L,Female,1998-09-30,EKSJOE,Sweden,Sweden,SWE,Ice Hockey,IHO,,,1.71/5'7'',../../../en/results/ice-hockey/athlete-profile-n1041976-linnea-andersson.htm
46,ANDERSSON Viktor,ANDERSSON V,Male,1992-11-06,LOFSDALEN,Sweden,Sweden,SWE,Freestyle Skiing,FRS,ARE,Sweden,,../../../en/results/freestyle-skiing/athlete-profile-n1045378-viktor-andersson.htm
47,ANDO Asa,ANDO A,Female,1996-04-24,ASAHIKAWA,Japan,Japan,JPN,Alpine Skiing,ALP,ASAHIKAWA,Japan,,../../../en/results/alpine-skiing/athlete-profile-n1042346-asa-ando.htm
48,ANDREEV Nikita,ANDREEV N,Male,2004-09-12,SAINT-PETERSBURG,Russian Federation,ROC,ROC,Freestyle Skiing,FRS,SAINT-PETERSBURG,Russian Federation,,../../../en/results/freestyle-skiing/athlete-profile-n1041106-nikita-andreev.htm
49,ANDREUTTI Giada,ANDREUTTI G,Female,1995-02-16,SAN DANIELE DEL FRIULI,Italy,Italy,ITA,Bobsleigh,BOB,SAN DANIELE DEL FRIULI,Italy,,../../../en/results/bobsleigh/athlete-profile-n1015272-giada-andreutti.htm
50,ANDRIANOV Maxim,ANDRIANOV M,Male,1988-02-27,KRASNOYARSK,Russian Federation,ROC,ROC,Bobsleigh,BOB,SOCHI,Russian Federation,,../../../en/results/bobsleigh/athlete-profile-n1056064-maxim-andrianov.htm
51,ANDRIENKO Aleksander,ANDRIENKO A,Male,1990-05-08,,Russian Federation,ROC,ROC,Alpine Skiing,ALP,KALUGA,Russian Federation,,../../../en/results/alpine-skiing/athlete-profile-n1038070-aleksander-andrienko.htm
52,ANDRIGHETTO Sven,ANDRIGHETTO S,Male,1993-03-21,SUMISWALD,Switzerland,Switzerland,SUI,Ice Hockey,IHO,ZURICH,Switzerland,1.77/5'9'',../../../en/results/ice-hockey/athlete-profile-n1048264-sven-andrighetto.htm
53,ANDRONOV Sergei,ANDRONOV S,Male,1989-07-19,MOSCOW,USSR,ROC,ROC,Ice Hockey,IHO,MOSCOW,Russian Federation,1.98/6'5'',../../../en/results/ice-hockey/athlete-profile-n1056448-sergei-andronov.htm
54,ANDRYIANAVA Anastasiya,ANDRYIANAVA A,Female,2004-12-08,,,Belarus,BLR,Freestyle Skiing,FRS,,,,../../../en/results/freestyle-skiing/athlete-profile-n1000074-anastasiya-andryianava.htm
55,ANGELIS Apostolos,ANGELIS A,Male,1993-06-24,IOANNINA,Greece,Greece,GRE,Cross-Country Skiing,CCS,ANILIO-METSOVOU,Greece,,../../../en/results/cross-country-skiing/athlete-profile-n1042301-apostolos-angelis.htm
56,ANGELOV Pavel,ANGELOV P,Male,1991-09-17,KRUMOVGRAD,Bulgaria,Bulgaria,BUL,Luge,LUG,SOFIA,Bulgaria,,../../../en/results/luge/athlete-profile-n1035098-pavel-angelov.htm
57,ANGENEND Yannik,ANGENEND Y,Male,2000-07-13,MUNICH,Germany,Germany,GER,Snowboard,SBD,LENGDORF,Germany,,../../../en/results/snowboard/athlete-profile-n1001650-yannik-angenend.htm
58,ANTHONY Jakara,ANTHONY J,Female,1998-07-08,"CAIRNS, QLD",Australia,Australia,AUS,Freestyle Skiing,FRS,"BARWON HEADS, VIC",Australia,,../../../en/results/freestyle-skiing/athlete-profile-n1046159-jakara-anthony.htm
59,ANTONIOU Ioannis,ANTONIOU I,Male,1995-01-27,LAMIA,Greece,Greece,GRE,Alpine Skiing,ALP,KARPENISI,Greece,,../../../en/results/alpine-skiing/athlete-profile-n1044843-ioannis-antoniou.htm
60,ANTONOV Vladislav,ANTONOV V,Male,1991-09-21,KRASNOYARSK,USSR,ROC,ROC,Luge,LUG,KRASNOYARSK,Russian Federation,,../../../en/results/luge/athlete-profile-n1016381-vladislav-antonov.htm
61,ANTSYBOR Maryna,ANTSYBOR M,Female,1987-10-10,KONOTOP,Ukraine,Ukraine,UKR,Cross-Country Skiing,CCS,KONOTOP,Ukraine,,../../../en/results/cross-country-skiing/athlete-profile-n1042209-maryna-antsybor.htm
62,ANTTILA Marko,ANTTILA M,Male,1985-05-27,LEMPAALA,Finland,Finland,FIN,Ice Hockey,IHO,HELSINKI,Finland,2.03/6'7'',../../../en/results/ice-hockey/athlete-profile-n1013000-marko-anttila.htm
63,AOUICH Yassine,AOUICH Y,Male,1990-11-17,IFRANE,Morocco,Morocco,MAR,Alpine Skiing,ALP,NICE,France,,../../../en/results/alpine-skiing/athlete-profile-n1053526-yassine-aouich.htm
64,APARJODE Kendija,APARJODE K,Female,1996-12-24,SIGULDA,Latvia,Latvia,LAT,Luge,LUG,SAULKRASTI,Latvia,,../../../en/results/luge/athlete-profile-n1037156-kendija-aparjode.htm
65,APARJODS Kristers,APARJODS K,Male,1998-02-24,SIGULDA,Latvia,Latvia,LAT,Luge,LUG,SAULKRASTI,Latvia,,../../../en/results/luge/athlete-profile-n1037161-kristers-aparjods.htm
66,APPIAH Cynthia,APPIAH C,Female,1990-05-15,"NORTH YORK, ON",Canada,Canada,CAN,Bobsleigh,BOB,"TORONTO, ON",Canada,,../../../en/results/bobsleigh/athlete-profile-n1054938-cynthia-appiah.htm
67,ARAMBURO Emilia,ARAMBURO E,Female,2002-08-13,,,Chile,CHI,Alpine Skiing,ALP,LA PARVA,Chile,,../../../en/results/alpine-skiing/athlete-profile-n1137344-emilia-aramburo.htm
68,ARBEZ Tess,ARBEZ T,Female,1997-12-01,SAINT-JULIEN-EN-GENEVOIS,France,Ireland,IRL,Alpine Skiing,ALP,VETRAZ-MONTHOUX,Ireland,,../../../en/results/alpine-skiing/athlete-profile-n1015156-tess-arbez.htm
69,AREFYEV Artem,AREFYEV A,Male,2000-11-09,CHEREPOVETS,Russian Federation,ROC,ROC,Speed Skating,SSK,ST. PETERSBURG,Russian Federation,1.91/6'3'',../../../en/results/speed-skating/athlete-profile-n1037987-artem-arefyev.htm
70,ARIUNSANAA Enkhtuul,ARIUNSANAA E,Female,1996-01-14,,Mongolia,Mongolia,MGL,Cross-Country Skiing,CCS,,Mongolia,,../../../en/results/cross-country-skiing/athlete-profile-n1051025-enkhtuul-ariunsanaa.htm
71,ARLT Tobias,ARLT T,Male,1987-06-02,BERCHTESGADEN,Federal Republic of Germany,Germany,GER,Luge,LUG,BERCHTESGADEN,Germany,,../../../en/results/luge/athlete-profile-n1014521-tobias-arlt.htm
72,ARMAN Sebastiano,ARMAN S,Male,1997-01-17,TRENTO,Italy,Italy,ITA,Curling,CUR,CEMBRA,Italy,,../../../en/results/curling/athlete-profile-n1037081-sebastiano-arman.htm
73,ARNOUK Cesar,ARNOUK C,Male,2000-11-08,TRIPOLI,Libya,LBN,LBN,Alpine Skiing,ALP,"MONTREAL, QC",Canada,,../../../en/results/alpine-skiing/athlete-profile-n1053546-cesar-arnouk.htm
74,ARONSSON ELFMAN Hanna,ARONSSON ELFMAN H,Female,2002-12-29,KARLSTAD,Sweden,Sweden,SWE,Alpine Skiing,ALP,KARLSTAD,Sweden,,../../../en/results/alpine-skiing/athlete-profile-n1054349-hanna-aronsson-elfman.htm
75,ARSENKINA Galina,ARSENKINA G,Female,1991-06-06,ZELENOGRAD,Russian Federation,ROC,ROC,Curling,CUR,ZELENOGRAD,Russian Federation,,../../../en/results/curling/athlete-profile-n1036535-galina-arsenkina.htm
76,ARTHUR Emily,ARTHUR E,Female,1999-04-24,"SYDNEY, NSW",Australia,Australia,AUS,Snowboard,SBD,"SYDNEY, NSW",Australia,,../../../en/results/snowboard/athlete-profile-n1046176-emily-arthur.htm
77,ARZHANIKOV Ivan,ARZHANIKOV I,Male,1994-06-23,PETROPAVL,Kazakhstan,Kazakhstan,KAZ,Speed Skating,SSK,PETROPAVL,Kazakhstan,1.87/6'1'',../../../en/results/speed-skating/athlete-profile-n1048170-ivan-arzhanikov.htm
78,ASCIC Valentina,ASCIC V,Female,1998-11-12,LIVNO,Bosnia and Herzegovina,Croatia,CRO,Short Track Speed Skating,STK,ZAGREB,Croatia,,../../../en/results/short-track-speed-skating/athlete-profile-n1037920-valentina-ascic.htm
79,ASH Gabi,ASH G,Female,1998-11-04,RANDWICK,Australia,Australia,AUS,Freestyle Skiing,FRS,"MELBOURNE, VIC",Australia,,../../../en/results/freestyle-skiing/athlete-profile-n1046066-gabi-ash.htm
80,ASH Sophie,ASH S,Female,1996-11-07,BRISBANE,Australia,Australia,AUS,Freestyle Skiing,FRS,MELBOURNE,Australia,,../../../en/results/freestyle-skiing/athlete-profile-n1046156-sophie-ash.htm
81,ASPERUP Josephine,ASPERUP J,Female,1992-07-21,SOEBORG,Denmark,Denmark,DEN,Ice Hockey,IHO,,,1.63/5'4'',../../../en/results/ice-hockey/athlete-profile-n1031842-josephine-asperup.htm
82,ASPERUP Matthias,ASPERUP M,Male,1995-03-03,SOBORG,Denmark,Denmark,DEN,Ice Hockey,IHO,HERLEV,Denmark,1.82/5'11'',../../../en/results/ice-hockey/athlete-profile-n1032226-matthias-asperup.htm
83,ASSELIN Olivia,ASSELIN O,Female,2004-02-24,"LEVIS, QC",Canada,Canada,CAN,Freestyle Skiing,FRS,"LAC BEAUPORT, QC",Canada,,../../../en/results/freestyle-skiing/athlete-profile-n1037648-olivia-asselin.htm
84,ATKIN Isabel,ATKIN I,Female,1998-06-21,,,Great Britain,GBR,Freestyle Skiing,FRS,,,,../../../en/results/freestyle-skiing/athlete-profile-n1045674-isabel-atkin.htm
85,ATKIN Zoe,ATKIN Z,Female,2003-01-16,"NEWTON, MA",United States of America,Great Britain,GBR,Freestyle Skiing,FRS,"PARK CITY, UT",United States of America,,../../../en/results/freestyle-skiing/athlete-profile-n1045675-zoe-atkin.htm
86,AUMOND Flavie,AUMOND F,Female,2002-12-04,,,Canada,CAN,Freestyle Skiing,FRS,,,,../../../en/results/freestyle-skiing/athlete-profile-n1037641-flavie-aumond.htm
87,aus den BIRKEN Danny,aus den BIRKEN D,Male,1985-02-15,DUSSELDORF,Federal Republic of Germany,Germany,GER,Ice Hockey,IHO,MUNICH,Germany,1.86/6'1'',../../../en/results/ice-hockey/athlete-profile-n1001159-danny-aus-den-birken.htm
88,AUSTIN Taylor,AUSTIN T,Male,1990-01-18,"LETHBRIDGE, AB",Canada,Canada,CAN,Bobsleigh,BOB,"CALGARY, AB",Canada,,../../../en/results/bobsleigh/athlete-profile-n1054937-taylor-austin.htm
89,AUZINA Kitija,AUZINA K,Female,1996-09-23,MADONA,Latvia,Latvia,LAT,Cross-Country Skiing,CCS,MADONA,Latvia,,../../../en/results/cross-country-skiing/athlete-profile-n1038226-kitija-auzina.htm
90,AVVAKUMOVA Ekaterina,AVVAKUMOVA E,Female,1990-10-26,VELIKIY USTUG,Russian Federation,Republic of Korea,KOR,Biathlon,BTH,ST. PETERSBURG,Russian Federation,,../../../en/results/biathlon/athlete-profile-n1037782-ekaterina-avvakumova.htm
91,AVVAKUMOVA Irina,AVVAKUMOVA I,Female,1991-09-14,MYSA,Russian Federation,ROC,ROC,Ski Jumping,SJP,MOSCOW,Russian Federation,,../../../en/results/ski-jumping/athlete-profile-n1036689-irina-avvakumova.htm
92,AYMOZ Kevin,AYMOZ K,Male,1997-08-01,ECHIROLLES,France,France,FRA,Figure Skating,FSK,JARRIE,France,,../../../en/results/figure-skating/athlete-profile-n1035265-kevin-aymoz.htm
93,AZHGALIYEV Abzal,AZHGALIYEV A,Male,1992-06-30,ORAL,Kazakhstan,Kazakhstan,KAZ,Short Track Speed Skating,STK,ORAL,Kazakhstan,,../../../en/results/short-track-speed-skating/athlete-profile-n1048127-abzal-azhgaliyev.htm
94,BABA Naoto,BABA N,Male,1996-07-20,,Japan,Japan,JPN,Cross-Country Skiing,CCS,YAMANOUCHI,Japan,,../../../en/results/cross-country-skiing/athlete-profile-n1037007-naoto-baba.htm
95,BACHER Daniel,BACHER D,Male,2004-12-17,INNSBRUCK,Austria,Austria,AUT,Freestyle Skiing,FRS,,Austria,,../../../en/results/freestyle-skiing/athlete-profile-n1005568-daniel-bacher.htm
96,BACHSLEITNER Niklas,BACHSLEITNER N,Male,1996-05-03,GARMISCH-PARTENKIRCHEN,Germany,Germany,GER,Freestyle Skiing,FRS,GRAINAU,Germany,,../../../en/results/freestyle-skiing/athlete-profile-n1012712-niklas-bachsleitner.htm
97,BACKSCHEIDER Adrien,BACKSCHEIDER A,Male,1992-08-07,METZ,France,France,FRA,Cross-Country Skiing,CCS,LES ROUSSES,France,,../../../en/results/cross-country-skiing/athlete-profile-n1035803-adrien-backscheider.htm
98,BADELIHAN Hadesi,BADELIHAN H,Male,1999-01-03,,People's Republic of China,People's Republic of China,CHN,Cross-Country Skiing,CCS,,People's Republic of China,,../../../en/results/cross-country-skiing/athlete-profile-n1058568-hadesi-badelihan.htm
99,BADRAUN Fabio,BADRAUN F,Male,1987-10-04,,Switzerland,Switzerland,SUI,Bobsleigh,BOB,LUCERNE,Switzerland,,../../../en/results/bobsleigh/athlete-profile-n1048269-fabio-badraun.htm
100,BAER Alexandra,BAER A,Female,2002-02-17,ZURICH,Switzerland,Switzerland,SUI,Freestyle Skiing,FRS,UITIKON,Switzerland,,../../../en/results/freestyle-skiing/athlete-profile-n1048271-alexandra-baer.htm
101,BAFF Josie,BAFF J,Female,2003-01-25,"COOMA, NSW",Australia,Australia,AUS,Snowboard,SBD,"JINDABYNE, NSW",Australia,,../../../en/results/snowboard/athlete-profile-n1046170-josie-baff.htm
102,BAGNIS Amedeo,BAGNIS A,Male,1999-11-11,VERCELLI,Italy,Italy,ITA,Skeleton,SKN,TRICERRO,Italy,,../../../en/results/skeleton/athlete-profile-n1015280-amedeo-bagnis.htm
103,BAGOZZA Daniele,BAGOZZA D,Male,1995-07-03,BRESSANONE,Italy,Italy,ITA,Snowboard,SBD,ORTISEI,Italy,,../../../en/results/snowboard/athlete-profile-n1015260-daniele-bagozza.htm
104,BAILET Matthieu,BAILET M,Male,1996-04-23,NICE,France,France,FRA,Alpine Skiing,ALP,NICE,France,,../../../en/results/alpine-skiing/athlete-profile-n1035755-matthieu-bailet.htm
105,BAIRD Jasmine,BAIRD J,Female,1999-06-29,"GEORGETOWN, ON",Canada,Canada,CAN,Snowboard,SBD,"GEORGETOWN, ON",Canada,,../../../en/results/snowboard/athlete-profile-n1045858-jasmine-baird.htm
106,BAKER Jean-Luc,BAKER JL,Male,1993-10-07,BURNLEY,Great Britain,United States of America,USA,Figure Skating,FSK,MONTREAL,Canada,,../../../en/results/figure-skating/athlete-profile-n1035182-jean-luc-baker.htm
107,BAKKEN Sivert Guttorm,BAKKEN SG,Male,1998-07-18,LILLEHAMMER,Norway,Norway,NOR,Biathlon,BTH,LILLEHAMMER,Norway,,../../../en/results/biathlon/athlete-profile-n1031964-sivert-guttorm-bakken.htm
108,BALINSKIS Uvis Janis,BALINSKIS UJ,Male,1996-08-01,VENTSPILS,Latvia,Latvia,LAT,Ice Hockey,IHO,LITVINOV,Czech Republic,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1056010-uvis-janis-balinskis.htm
109,BALOGA Matej,BALOGA M,Male,1997-08-08,PRESOV,Slovakia,Slovakia,SVK,Biathlon,BTH,PRESOV,Slovakia,,../../../en/results/biathlon/athlete-profile-n1053041-matej-baloga.htm
110,BANKES Charlotte,BANKES C,Female,1995-06-10,HEMEL HEMPSTEAD,Great Britain,Great Britain,GBR,Snowboard,SBD,L'ARGENTIERE-LA-BESSEE,France,,../../../en/results/snowboard/athlete-profile-n1045676-charlotte-bankes.htm
111,BANKES Megan,BANKES M,Female,1997-08-22,"CALGARY, AB",Canada,Canada,CAN,Biathlon,BTH,"CANMORE, AB",Canada,,../../../en/results/biathlon/athlete-profile-n1051494-megan-bankes.htm
112,BANYS Linas,BANYS L,Male,1998-04-06,ANYKSCIAI,Lithuania,Lithuania,LTU,Biathlon,BTH,ANYKSCIAI,Lithuania,,../../../en/results/biathlon/athlete-profile-n1041089-linas-banys.htm
113,BARALO Elliott,BARALO E,Male,1998-08-01,ANNECY,France,Sweden,SWE,Freestyle Skiing,FRS,CHINDRIEUX,France,,../../../en/results/freestyle-skiing/athlete-profile-n1045373-elliott-baralo.htm
114,BARBERIO Mark,BARBERIO M,Male,1990-03-23,"MONTREAL, QC",Canada,Canada,CAN,Ice Hockey,IHO,KAZAN,Russian Federation,1.85/6'0'',../../../en/results/ice-hockey/athlete-profile-n1051796-mark-barberio.htm
115,BARBEZAT Melanie,BARBEZAT M,Female,1991-08-10,BIEL,Switzerland,Switzerland,SUI,Curling,CUR,BERN,Switzerland,,../../../en/results/curling/athlete-profile-n1048274-melanie-barbezat.htm
